Branch,Card_Number,Prize
BH000,لقاء مجاني لبرنامج من اختيارك
BH001,دورة مهارات الحاسوب
BH002,خصم المسجلين المبكرين 10%
BH003,2 بسعر 1 للدورات القصيرة
BH005,2 بسعر 1 للدورات القصيرة
BH006,خدمة تجميل
BH007,دورة لغة انجليزية
BH008,خصم الأصحاب
BH009,خدمة تجميل
BH011,سحب على الجائزة الكبرى
BH012,جلسة تصوير
BH013,خصم الأصحاب
BH014,لقاء مجاني لبرنامج من اختيارك
BH015,2 بسعر 1 للدورات القصيرة
BH016,جلسة تصوير
BH018,2 بسعر 1 للدورات القصيرة
BH019,لقاء مجاني لبرنامج من اختيارك
BH020,لقاء مجاني لبرنامج من اختيارك
BH021,جلسة تصوير
BH022,خصم 8%
BH023,خصم 8%
BH024,لقاء مجاني لبرنامج من اختيارك
BH025,خصم المسجلين المبكرين 10%
BH027,خصم 8%
BH028,لقاء مجاني لبرنامج من اختيارك
BH029,خصم 8%
BH030,خصم 8%
BH031,لقاء مجاني لبرنامج من اختيارك
BH032,خصم المسجلين المبكرين 10%
BH033,خصم الأصحاب
BH034,2 بسعر 1 للدورات القصيرة
BH035,لقاء مجاني لبرنامج من اختيارك
BH036,لقاء مجاني لبرنامج من اختيارك
BH037,خصم 8%
BH038,جلسة تصوير
BH039,خصم 5%
BH040,خصم 8%
BH042,2 بسعر 1 للدورات القصيرة
BH043,خصم المسجلين المبكرين 10%
BH044,خدمة تجميل
BH045,دورة لغة انجليزية
BH047,دورة مهارات الحاسوب
BH048,خصم المسجلين المبكرين 10%
BH049,هدية فورية
BH050,دورة مهارات الحاسوب
BH051,خصم الأصحاب
BH052,لقاء مجاني لبرنامج من اختيارك
BH053,لقاء مجاني لبرنامج من اختيارك
BH054,دورة لغة انجليزية
BH055,خصم الأصحاب
BH056,خصم الأصحاب
BH057,خدمة تجميل
BH058,دورة لغة انجليزية
BH059,هدية فورية
BH060,هدية فورية
BH061,خصم المسجلين المبكرين 10%
BH062,خدمة تجميل
BH063,دورة لغة انجليزية
BH065,خصم الأصحاب
BH066,خصم المسجلين المبكرين 10%
BH067,خصم الأصحاب
BH069,خصم الأصحاب
BH070,لقاء مجاني لبرنامج من اختيارك
BH072,لقاء مجاني لبرنامج من اختيارك
BH073,هدية فورية
BH074,خصم 8%
BH075,خصم 8%
BH076,خصم المسجلين المبكرين 10%
BH077,خصم الأصحاب
BH078,جلسة تصوير
BH079,سحب على الجائزة الكبرى
BH080,خصم 5%
BH081,خدمة تجميل
BH082,خصم 5%
BH083,جلسة تصوير
BH084,خصم الأصحاب
BH085,خصم المسجلين المبكرين 10%
BH086,خصم المسجلين المبكرين 10%
BH087,خصم الأصحاب
BH088,خصم 5%
BH089,دورة مهارات الحاسوب
BH091,خصم المسجلين المبكرين 10%
BH092,خصم المسجلين المبكرين 10%
BH093,خدمة تجميل
BH094,خصم 8%
BH095,خصم 5%
BH096,2 بسعر 1 للدورات القصيرة
BH097,لقاء مجاني لبرنامج من اختيارك
BH098,دورة مهارات الحاسوب
BH099,لقاء مجاني لبرنامج من اختيارك
BH100,خصم 8%
BH102,خصم المسجلين المبكرين 10%
BH103,2 بسعر 1 للدورات القصيرة
BH104,دورة لغة انجليزية
BH105,خصم الأصحاب
BH106,لقاء مجاني لبرنامج من اختيارك
BH107,خصم المسجلين المبكرين 10%
BH109,خصم 5%
BH111,جلسة تصوير
BH112,2 بسعر 1 للدورات القصيرة
BH113,خصم المسجلين المبكرين 10%
